latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
-41.33080317777778,-72.39374940833333,30.786,8.54472,9,2024,36210.375
-41.33081055555556,-72.39375300833335,30.7821,8.54486,9,2024,36210.345
-41.33081818611112,-72.39375685555557,30.7746,8.54500,9,2024,36210.280
-41.330825952777786,-72.39376084444447,30.7863,8.54514,9,2024,36210.239
-41.3308337638889,-72.39376477500002,30.7816,8.54528,9,2024,36210.178
-41.33084128333333,-72.39376868333335,30.784,8.54542,9,2024,36210.082
-41.33084894722222,-72.39377256944445,30.7719,8.54556,9,2024,36209.851
-41.33085663055556,-72.39377665833335,30.7808,8.54569,9,2024,36209.698
-41.33086435833334,-72.39378069166669,30.7537,8.54583,9,2024,36209.521
-41.330871988888894,-72.39378490833334,30.7597,8.54597,9,2024,36209.459
-41.33087948888889,-72.39378895,30.7433,8.54611,9,2024,36209.322
-41.3308869888889,-72.39379338888888,30.7589,8.54625,9,2024,36209.236
-41.33089451944446,-72.3937977527778,30.7572,8.54639,9,2024,36209.117
-41.3309020388889,-72.39380225833335,30.7838,8.54653,9,2024,36209.121
-41.3309095138889,-72.39380638055559,30.7835,8.54667,9,2024,36209.157
-41.330917019444456,-72.39381055000003,30.7799,8.54681,9,2024,36209.195
-41.33092476944445,-72.39381490000001,30.806,8.54694,9,2024,36209.255
-41.33093267222223,-72.39381917777781,30.8047,8.54708,9,2024,36209.289
-41.33094057500001,-72.3938234388889,30.8184,8.54722,9,2024,36209.342
-41.330948305555566,-72.39382765555558,30.8172,8.54736,9,2024,36209.251
-41.330955952777785,-72.39383175833333,30.8051,8.54750,9,2024,36209.099
-41.330963975,-72.3938362277778,30.7975,8.54764,9,2024,36208.917
-41.330971877777785,-72.39384059166669,30.8067,8.54778,9,2024,36208.934
-41.33097976111113,-72.39384491944448,30.7789,8.54792,9,2024,36208.901
