rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
12936.0,30.2636,12935.780958597275,POINT (717298.9403871148 5421895.465305699),2024-01-10 20:55:29.000,-41.32506338392865,-72.40351433164619,28.771414,0.07654335,3551807.2,7.0,8.070971e-05,1.0,0.0,30.2636,12935.780958597275,12104,9.25861207465434,20.29720907186202
12902.0,30.2563,12902.306471720982,POINT (717330.4605801981 5421884.202324359),2024-01-10 20:55:43.000,-41.32542108921866,-72.40325118348733,31.340311,0.1810862,6086221.5,6.0,8.32506e-05,0.0,0.0,30.2563,12902.306471720982,12076,21.768166550264223,22.888035143060883
12708.0,30.178,12707.543485215168,POINT (717511.245684396 5421811.948841925),2024-01-10 20:57:06.000,-41.32603402907074,-72.40105820969154,30.162725,1.855329,107681100.0,4.0,6.672554e-05,0.0,0.0,30.178,12707.543485215168,11910,22.746293309384807,21.83803799643966
12683.0,30.1753,12682.989873028857,POINT (717534.489457873 5421804.03786629),2024-01-10 20:57:16.000,-41.325536399429865,-72.40055505233204,29.983707,0.30764005,12438542.0,4.0,5.921568e-05,0.0,0.0,30.1753,12682.989873028857,11889,42.4686711745316,21.67510501999245
12662.0,30.1646,12662.110838086694,POINT (717554.3826335245 5421797.7059188),2024-01-10 20:57:25.000,-41.32592243246833,-72.40044811735288,30.123503,0.81530935,41613696.0,4.0,6.287153e-05,0.0,0.0,30.1646,12662.110838086694,11871,3.692818586538731,21.8285788351447
12620.0,30.1494,12620.113136106958,POINT (717595.4173449985 5421788.844902226),2024-01-10 20:57:43.000,-41.32561672844984,-72.39988554549075,30.000114,0.5229433,20802006.0,4.0,6.143164e-05,0.0,0.0,30.1494,12620.113136106958,11835,45.65319313931751,21.732702447968485
12605.0,30.1388,12604.687711538474,POINT (717610.6377861567 5421786.360656272),2024-01-10 20:57:50.000,-41.3260039347325,-72.39978502289966,30.139376,0.5276054,32754774.0,4.0,6.394799e-05,1.0,0.0,30.1388,12604.687711538474,11822,4.156700822126711,21.882069613579684
12563.0,30.0903,12563.018522375827,POINT (717652.2480121872 5421785.37910786),2024-01-10 20:58:08.000,-41.3261143997286,-72.39928028841058,29.979233,1.3211967,71320380.0,4.0,6.253933e-05,0.0,0.0,30.0903,12563.018522375827,11787,8.401411131099566,21.749224018296403
12561.0,30.0935,12560.625088445186,POINT (717654.6412721593 5421785.407957998),2024-01-10 20:58:09.000,-41.3259099419285,-72.39927120218397,29.97595,1.4685204,89444536.0,4.0,6.4020714e-05,1.0,0.0,30.0935,12560.625088445186,11785,14.268005006212444,21.747508952205855
12348.0,29.8015,12348.01305954491,POINT (717843.8732861308 5421707.380660824),2024-01-10 20:59:39.000,-41.32671217144885,-72.39700481631104,29.740107,1.6629857,42821396.0,3.0,5.7747606e-05,0.0,0.0,29.8015,12348.01305954491,11605,3.760713424298781,21.650947678516367
